cell,size
1694,454
1695,436
1696,474
1697,440
1698,466
1699,482
1700,473
1701,428
1702,450
1703,468
1704,455
1705,444
1706,445
1707,457
1708,435
1709,455
1710,483
1711,482
1712,463
1713,442
1714,433
1715,432
1716,436
1717,450
1718,454
1719,467
1720,500
1721,477
1722,479
1723,426
1724,462
1725,463
1726,468
1727,435
1728,482
1729,465
1730,479
1731,454
1732,503
1733,439
1734,495
1735,450
1736,484
1737,505
1738,443
1739,422
1740,471
1741,470
1742,455
1743,474
1744,426
1745,466
1746,450
1747,497
1748,435
1749,468
1750,481
1751,440
1752,442
1753,469
1754,466
1755,434
1756,470
1757,465
1758,427
1759,430
1760,461
1761,447
1762,510
1763,458
1764,436
1765,477
1766,475
1767,458
1768,460
1769,456
1770,453
1771,472
1772,474
1773,470
1774,444
1775,494
1776,460
1777,448
1778,479
1779,447
1780,462
1781,460
1782,448
1783,454
1784,454
1785,454
1786,439
1787,438
1788,430
1789,535
1790,473
1791,468
1792,475
1793,436
1794,479
1795,458
1796,457
1797,472
1798,428
1799,459
1800,477
1801,499
1802,451
1803,470
1804,460
1805,447
1806,479
1807,425
1808,490
1809,433
1810,477
1811,476
1812,453
1813,448
1814,437
1815,452
1816,467
1817,448
1818,440
1819,457
1820,481
1821,453
1822,456
1823,473
1824,459
1825,458
1826,498
1827,448
1828,419
1829,452
1830,457
1831,486
1832,450
1833,448
1834,454
1835,459
1836,414
1837,484
1838,478
1839,466
1840,449
1841,458
1842,428
1843,490
1844,488
1845,489
1846,452
1847,500
1848,460
1849,469
1850,497
1851,471
1852,446
1853,482
1854,441
1855,421
1856,473
1857,414
1858,465
1859,452
1860,437
1861,426
1862,475
1863,468
1864,483
1865,456
1866,474
1867,472
1868,448
1869,454
1870,438
1871,448
1872,465
1873,464
1874,438
1875,436
1876,503
1877,470
1878,445
1879,510
1880,448
1881,462
1882,438
1883,456
1884,436
1885,439
1886,445
1887,462
1888,502
1889,484
1890,481
1891,446
1892,501
1893,482
1894,452
1895,446
1896,457
1897,438
1898,488
1899,462
1900,505
1901,435
1902,484
1903,443
1904,463
1905,478
1906,443
1907,458
1908,442
1909,497
1910,450
1911,410
1912,489
1913,446
1914,484
1915,479
1916,470
1917,469
1918,475
1919,446
1920,449
1921,486
1922,462
1923,471
1924,477
1925,454
1926,473
1927,481
1928,472
1929,485
1930,470
1931,467
1932,456
1933,462
1934,434
1935,463
1936,494
1937,435
1938,449
1939,458
1940,478
1941,485
1942,451
1943,469
1944,464
1945,494
1946,487
1947,471
1948,470
1949,460
1950,426
1951,464
1952,445
1953,494
1954,450
1955,421
1956,438
1957,456
1958,439
1959,457
1960,471
1961,465
1962,488
1963,474
1964,404
1965,496
1966,513
1967,484
1968,489
1969,453
1970,498
1971,444
1972,486
1973,446
1974,482
1975,454
1976,484
1977,435
1978,513
1979,476
1980,483
1981,456
1982,440
1983,455
1984,460
1985,454
1986,460
1987,459
1988,429
1989,453
1990,479
1991,458
1992,490
1993,450
1994,455
1995,470
1996,435
1997,474
1998,467
1999,482
2000,463
2001,412
2002,504
2003,475
2004,439
2005,470
2006,504
2007,433
2008,439
2009,462
2010,434
2011,453
2012,473
2013,461
2014,465
2015,509
2016,443
2017,452
2018,469
2019,432
2020,491
2021,407
2022,463
2023,473
2024,489
2025,466
2026,482
2027,429
2028,429
2029,459
2030,460
2031,435
2032,494
2033,433
2034,471
2035,446
2036,445
