cell,size
2544,464
2545,441
2546,436
2547,432
2548,474
2549,451
2550,424
2551,483
2552,402
2553,457
2554,476
2555,466
2556,475
2557,491
2558,420
2559,449
2560,475
2561,445
2562,434
2563,503
2564,452
2565,452
2566,491
2567,451
2568,474
2569,491
2570,464
2571,466
2572,463
2573,435
2574,477
2575,433
2576,450
2577,433
2578,451
2579,478
2580,473
2581,457
2582,454
2583,449
2584,463
2585,493
2586,430
2587,479
2588,456
2589,458
2590,484
2591,463
2592,434
2593,483
2594,447
2595,500
2596,467
2597,482
2598,479
2599,491
2600,504
2601,464
2602,452
2603,457
2604,418
2605,459
2606,496
2607,474
2608,457
2609,522
2610,442
2611,475
2612,467
2613,449
2614,433
2615,484
2616,471
2617,448
2618,468
2619,473
2620,484
2621,495
2622,497
2623,488
2624,446
2625,482
2626,422
2627,474
2628,450
2629,478
2630,468
2631,403
2632,464
2633,485
2634,447
2635,486
2636,450
2637,462
2638,434
2639,461
2640,460
2641,430
2642,472
2643,459
2644,466
2645,425
2646,456
2647,456
2648,470
2649,442
2650,445
2651,463
2652,504
2653,468
2654,483
2655,440
2656,499
2657,443
2658,466
2659,436
2660,451
2661,450
2662,481
2663,463
2664,481
2665,448
2666,461
2667,485
2668,451
2669,471
2670,451
2671,438
2672,455
2673,477
2674,451
2675,488
2676,489
2677,487
2678,475
2679,454
2680,454
2681,454
2682,437
2683,469
2684,428
2685,438
2686,462
2687,467
2688,446
2689,463
2690,453
2691,459
2692,431
2693,425
2694,480
2695,432
2696,471
2697,475
2698,471
2699,468
2700,451
2701,457
2702,443
2703,440
2704,479
2705,469
2706,469
2707,513
2708,477
2709,436
2710,473
2711,476
2712,432
2713,476
2714,442
2715,455
2716,472
2717,459
2718,432
2719,502
2720,494
2721,427
2722,440
2723,456
2724,423
2725,478
2726,455
2727,481
2728,463
2729,443
2730,455
2731,469
2732,468
2733,463
2734,466
2735,477
2736,489
2737,470
2738,488
2739,470
2740,487
2741,479
2742,454
2743,434
2744,460
2745,432
2746,457
2747,435
2748,500
2749,444
2750,482
2751,511
2752,487
2753,477
2754,433
2755,438
2756,481
2757,486
2758,485
2759,431
2760,434
2761,450
2762,448
2763,435
2764,434
2765,434
2766,466
2767,469
2768,489
2769,487
2770,454
2771,445
2772,455
2773,485
2774,477
2775,449
2776,455
2777,448
2778,481
2779,470
2780,468
2781,474
2782,463
2783,449
2784,430
2785,477
2786,474
2787,465
2788,502
2789,446
2790,459
2791,482
2792,461
2793,429
2794,438
2795,432
2796,471
2797,440
2798,454
2799,464
2800,454
2801,464
2802,473
2803,477
2804,462
2805,475
2806,473
2807,448
2808,429
2809,443
2810,435
2811,486
2812,461
2813,438
2814,435
2815,441
2816,481
2817,516
2818,465
2819,461
2820,429
2821,482
2822,467
2823,484
2824,463
2825,456
2826,494
2827,481
2828,455
2829,408
2830,487
2831,457
2832,475
2833,491
2834,438
2835,448
2836,501
2837,460
2838,450
2839,441
2840,436
2841,477
2842,471
2843,460
2844,453
2845,485
2846,466
2847,463
2848,476
2849,433
2850,479
2851,490
2852,486
2853,428
2854,451
2855,482
2856,460
2857,461
2858,438
2859,484
2860,460
2861,458
2862,444
2863,487
2864,416
2865,453
2866,504
2867,460
2868,461
2869,450
2870,464
2871,516
2872,437
2873,415
2874,464
2875,512
2876,480
2877,441
2878,505
2879,464
2880,479
2881,443
2882,468
2883,425
2884,441
2885,487
2886,448
2887,460
2888,452
2889,428
2890,469
2891,499
2892,506
2893,437
2894,444
2895,457
2896,478
2897,460
2898,446
2899,478
2900,486
2901,482
2902,427
2903,458
2904,487
2905,432
2906,436
2907,452
2908,442
2909,424
2910,463
2911,468
2912,419
2913,452
2914,479
2915,438
2916,475
2917,474
2918,444
2919,442
2920,462
2921,454
2922,422
2923,516
2924,429
2925,488
2926,485
2927,465
2928,436
2929,466
2930,469
2931,497
2932,482
2933,510
2934,433
2935,450
2936,465
2937,430
2938,483
2939,474
2940,491
2941,445
2942,470
2943,456
2944,475
2945,467
2946,458
2947,473
2948,488
2949,469
2950,465
2951,478
2952,492
2953,398
2954,454
2955,453
2956,463
2957,446
2958,466
2959,451
2960,489
2961,469
2962,488
2963,443
2964,448
2965,447
2966,478
2967,447
2968,424
2969,471
2970,452
2971,470
2972,475
2973,464
2974,506
2975,477
2976,464
2977,446
2978,493
2979,469
2980,465
2981,451
2982,492
2983,491
2984,465
2985,486
2986,454
2987,489
2988,438
2989,474
2990,457
2991,507
